Statement of Account
Account Number,XXXXXXXX4429

Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
22/09/2026,UPI/SWIGGY INSTAMART CHENNAI/442991122,1050.00,,184320.00
21/09/2026,POS/AMAZON RETAIL IN/9921445,1299.00,,185370.00
20/09/2026,UPI/JIO RECHARGE/882211,1100.00,,186669.00
19/09/2026,POS/MARUTI SERVICE CENTRE CHENNAI,4800.00,,187769.00
18/09/2026,UPI/SARAVANA BHAVAN/771122,950.00,,192569.00
17/09/2026,POS/BIGBASKET BANGALORE/5512,2600.00,,193519.00
16/09/2026,NEFT CR/CAKE ORDER ADVANCE,,8000.00,196119.00
15/09/2026,UPI/ZEPTO MARKETPLACE/99123,780.00,,188119.00
14/09/2026,POS/TANISHQ JEWELLERY CHENNAI,6500.00,,188899.00
13/09/2026,POS/PVR CINEMAS PHOENIX,3400.00,,195399.00
12/09/2026,ATM WDL/NWD CHENNAI/4421,6000.00,,198799.00
11/09/2026,UPI/INDANE GAS BOOKING/2281,1150.00,,204799.00
10/09/2026,POS/RELIANCE FRESH CHENNAI,1250.00,,205949.00
05/09/2026,HDFC CREDIT CARD PAYMENT AUTOPAY,28500.00,,207199.00
03/09/2026,UPI/AIRTEL BROADBAND/9921,899.00,,235699.00
02/09/2026,UPI/TNEB ONLINE PAYMENT/5521,2400.00,,236598.00
01/09/2026,NEFT CR/SALARY SEPTEMBER 2026,,130000.00,238998.00
